MonthYear,Crash Severity,Median Type
2012-01,2.0,4
2012-01,4.0,498
2012-01,5.0,554
2012-02,2.0,2
2012-02,4.0,504
2012-02,5.0,484
2012-03,2.0,3
2012-03,4.0,511
2012-03,5.0,564
2012-04,2.0,1
2012-04,4.0,510
2012-04,5.0,592
2012-05,2.0,3
2012-05,4.0,568
2012-05,5.0,604
2012-06,2.0,5
2012-06,4.0,528
2012-06,5.0,594
2012-07,2.0,2
2012-07,4.0,581
2012-07,5.0,548
2012-08,2.0,3
2012-08,4.0,591
2012-08,5.0,632
2012-09,2.0,8
2012-09,4.0,551
2012-09,5.0,525
2012-10,2.0,5
2012-10,4.0,649
2012-10,5.0,671
2012-11,2.0,3
2012-11,4.0,583
2012-11,5.0,636
2012-12,2.0,4
2012-12,4.0,581
2012-12,5.0,598
2013-01,2.0,5
2013-01,4.0,496
2013-01,5.0,555
2013-02,2.0,4
2013-02,4.0,393
2013-02,5.0,465
2013-03,2.0,2
2013-03,4.0,466
2013-03,5.0,524
2013-04,2.0,2
2013-04,4.0,488
2013-04,5.0,522
2013-05,2.0,4
2013-05,4.0,566
2013-05,5.0,578
2013-06,2.0,5
2013-06,4.0,543
2013-06,5.0,583
2013-07,2.0,5
2013-07,4.0,535
2013-07,5.0,614
2013-08,2.0,6
2013-08,4.0,510
2013-08,5.0,613
2013-09,2.0,4
2013-09,4.0,611
2013-09,5.0,622
2013-10,2.0,3
2013-10,4.0,520
2013-10,5.0,655
2013-11,2.0,4
2013-11,4.0,492
2013-11,5.0,669
2013-12,2.0,7
2013-12,4.0,416
2013-12,5.0,671
2014-01,2.0,1
2014-01,4.0,466
2014-01,5.0,566
2014-02,2.0,4
2014-02,4.0,417
2014-02,5.0,588
2014-03,2.0,1
2014-03,4.0,487
2014-03,5.0,553
2014-04,2.0,1
2014-04,4.0,485
2014-04,5.0,574
2014-05,2.0,1
2014-05,4.0,534
2014-05,5.0,548
2014-06,2.0,3
2014-06,4.0,493
2014-06,5.0,566
2014-07,2.0,2
2014-07,4.0,515
2014-07,5.0,584
2014-08,2.0,3
2014-08,4.0,518
2014-08,5.0,548
2014-09,2.0,2
2014-09,4.0,573
2014-09,5.0,569
2014-10,2.0,6
2014-10,4.0,658
2014-10,5.0,641
2014-11,4.0,552
2014-11,5.0,577
2014-12,2.0,4
2014-12,4.0,591
2014-12,5.0,629
2015-01,2.0,1
2015-01,4.0,536
2015-01,5.0,534
2015-02,2.0,2
2015-02,4.0,545
2015-02,5.0,475
2015-03,2.0,2
2015-03,4.0,591
2015-03,5.0,556
2015-04,2.0,3
2015-04,4.0,619
2015-04,5.0,521
2015-05,2.0,4
2015-05,4.0,542
2015-05,5.0,463
2015-06,2.0,4
2015-06,4.0,646
2015-06,5.0,624
2015-07,2.0,2
2015-07,4.0,616
2015-07,5.0,589
2015-08,2.0,8
2015-08,4.0,657
2015-08,5.0,549
2015-09,2.0,6
2015-09,4.0,604
2015-09,5.0,552
2015-10,2.0,1
2015-10,4.0,693
2015-10,5.0,575
2015-11,2.0,3
2015-11,4.0,615
2015-11,5.0,596
2015-12,2.0,4
2015-12,4.0,689
2015-12,5.0,663
